thread,neg,seg,comb,speaker,text
1,o,n,n-o,g,right 
1,A2,s,s-A2,g,top left sandy shore 
1,A1,s,s-A1,f,okay 
2,A2,n,n-A2,g,down at the bottom of it bottom left of it follow the s-- line stream i presume it is to the top of the well 
3,K2,n,n-K2,g,you don't have a stream 
3,ch,s,s-ch,f,i don't have a well 
3,o,s,s-o,g,right 
4,K2,n,n-K2,g,do you have a well 
4,K1,s,s-K1,g,no 
4,o,s,s-o,f,right 
5,K1,n,n-K1,f,i've got the sandy shore and i've got a cross saying start 
5,o,s,s-o,g,right 
5,o,s,s-o,g,right okay 
6,A2,n,n-A2,g,now down slightly to 
7,K2,n,n-K2,f,down the middle or straight 
7,K1,s,s-K1,g,slightly sloped slightly sloped that way 
8,K2,n,n-K2,f,to the towards the west or east 
8,o,s,s-o,g,right 
8,K1,s,s-K1,g,east 
8,o,s,s-o,f,right okay 
6,A2,o,o-A2,g,but don't go down too far 
9,K2,n,n-K2,f,straight 
9,K1,s,s-K1,g,uh-huh 
10,o,n,n-o,g,and then 
10,K2,s,s-K2,g,you don't have a well 
10,K1,s,s-K1,f,no 
10,o,s,s-o,g,right 
11,K2,n,n-K2,g,so before does your stream turn to the right 
11,ch,s,s-ch,f,i don't have a stream 
12,K1,n,n-K1,g,you don't have anything 
13,K2,n,n-K2,f,are we talking about the top left 
13,K1,s,s-K1,g,yes 
13,o,s,s-o,f,right okay 
14,K2,n,n-K2,g,do you have anything 
14,K1,s,s-K1,f,no nothing at all 
15,K2,n,n-K2,g,is your page just blank 
15,K1,s,s-K1,f,no no 
15,K1,s,s-K1,f,but this bit up here is 
15,o,s,s-o,g,okay 
16,A2,n,n-A2,g,right down about three centimetres 
16,A1,s,s-A1,f,uh-huh 
17,A2,n,n-A2,g,and then slightly to the east that way and then turn to the west and like curve round like that except it'll be the other way 
17,A1,s,s-A1,f,okay 
18,o,n,n-o,g,and then 
18,o,s,s-o,g,after you finish the curve continue to the east 
18,K2,s,s-K2,g,do you have a house with local residents 
18,K1,s,s-K1,f,under crane bay 
18,o,s,s-o,g,yeah 
19,K2,n,n-K2,f,do you see this river coming down 
20,K2,n,n-K2,g,the big river 
20,K1,s,s-K1,f,yeah 
21,K2,n,n-K2,f,have you got an iron bridge 
21,K1,s,s-K1,g,no 
21,o,s,s-o,g,no 
21,o,s,s-o,g,no 
21,o,s,s-o,g,mm 
22,K2,n,n-K2,f,are you going to the treasure 
22,o,s,s-o,g,treasure 
22,K1,s,s-K1,g,a pirate ship at the bottom bottom left 
22,ch,s,s-ch,f,no 
23,o,n,n-o,f,okay never mind 
23,K2,s,s-K2,f,have you got hills 
23,K1,s,s-K1,g,yeah 
23,o,s,s-o,f,right 
24,K2,n,n-K2,f,where are you going above the hills 
24,K1,s,s-K1,g,above the hills 
25,K2,n,n-K2,f,to the east of that or what 
25,K1,s,s-K1,g,to the east of that 
25,K1,s,s-K1,g,nearly to the end of the hills 
26,A1,n,n-A1,f,i'm just going straight down there then 
26,ch,s,s-ch,g,no 
27,A1,n,n-A1,g,we're just going east 
28,K2,n,n-K2,g,have you passed like have you done the curvy bit 
28,K1,s,s-K1,f,well sort yeah 
28,o,s,s-o,g,right 
29,A2,n,n-A2,g,and then sort curve on to the east along the east 
30,K2,n,n-K2,f,how far down the page am i now 
29,A1,o,o-A1,f,okay 
30,K1,n,n-K1,g,ten centimetres 
31,o,n,n-o,f,east 
31,K2,s,s-K2,f,i just keep going east 
31,K1,s,s-K1,g,east 
31,K1,s,s-K1,g,to about couple centimetres off the top off the end of the hills 
32,K1,n,n-K1,f,we've probably got different hills 
32,o,s,s-o,f,okay that's me 
33,o,n,n-o,g,and 
33,A2,s,s-A2,g,then curve upwards 
33,A1,s,s-A1,f,mmhmm 
34,A2,n,n-A2,g,back to the stream to where you c-- to where you cross the stream 
35,o,n,n-o,f,this big thing 
36,K2,n,n-K2,g,do you have like two black lines and then a big stream 
36,o,s,s-o,f,right 
36,K1,s,s-K1,f,i'll tell you what i've got i've got this bit of water from where the start is 
36,o,s,s-o,f,okay 
36,o,s,s-o,g,uh-huh 
37,K1,n,n-K1,f,and i've got one big sort river thing coming down and that's it 
37,o,s,s-o,g,right 
38,o,n,n-o,g,s-- 
39,K1,n,n-K1,f,and then it splits into two 
