thread,neg,seg,comb,speaker,text
1,o,n,n-o,g,eh right 
1,K1,s,s-K1,g,the route's starting at the chestnut tree 
1,o,s,s-o,g,okay 
2,A2,n,n-A2,g,and i want you to go towards the left-hand side of the page 
2,A1,s,s-A1,f,mmhmm 
3,A2,n,n-A2,g,and just before you get there if if that was going forwards then turn to your right and go up about an inch and a half and then turn to your right again 
3,A1,s,s-A1,f,mmhmm 
4,A2,n,n-A2,g,then branch off above the attractive cliffs not quite in a straight not in a quite in a ninety degree angle ehm 
5,A2,n,n-A2,f,say it start again wait from 
5,A1,s,s-A1,g,uh-huh 
6,A2,n,n-A2,g,from the chestnut tree right as if you were going forward to the edge of the page 
6,A1,s,s-A1,f,mmhmm 
7,A2,n,n-A2,g,but not quite 
7,A1,s,s-A1,f,right 
8,A2,n,n-A2,g,then turn to your right 
8,A1,s,s-A1,f,mmhmm 
9,A2,n,n-A2,g,and go up about an inch and a half or two inches turn right again not quite at ninety degrees and then turn if that was forwards turn to your left up to above the attractive hills to n-- near the vast meadow 
9,A1,s,s-A1,f,mmhmm 
10,o,n,n-o,g,right 
10,A2,s,s-A2,g,ehm you go forward from there and you branch off 
11,K2,n,n-K2,f,in where 
10,A1,o,o-A1,f,oh right aye 
12,A2,n,n-A2,g,you've got to go up ehm to your left again but keep quite close when you get to that top corner 
13,o,n,n-o,g,keep qu-- uh-huh 
12,ch,o,o-ch,f,wait a minute 
14,o,n,n-o,f,if i oh when i'm by crane bay 
14,o,s,s-o,g,uh-huh 
14,K2,s,s-K2,f,which direction have i been coming from 
14,o,s,s-o,g,right 
14,K1,s,s-K1,g,you've you've come from vast meadow 
14,o,s,s-o,g,right 
14,o,s,s-o,f,mmhmm 
15,K1,n,n-K1,g,and there's an outcrop of land well you're not going quite on to that 
15,o,s,s-o,f,right 
16,A2,n,n-A2,g,right you're going up to the next corner above vast meadow 
16,A2,s,s-A2,g,just sort diagonally opposite the c"" of crane bay ""
16,o,s,s-o,g,right 
17,A2,n,n-A2,g,you've got to turn to your left up the way 
18,o,n,n-o,g,do you want me to run by that one again 
18,A2,s,s-A2,f,yeah if you could 
19,o,n,n-o,g,right where've we got to vast meadow 
