thread,neg,seg,comb,speaker,text
1,o,n,n-o,g,right neil erm 
1,o,s,s-o,f,right 
1,K1,s,s-K1,g,about one and a half centimetres above the extinct volcano is your start point 
2,K1,n,n-K1,f,well i've got that already marked 
2,o,s,s-o,f,right 
2,o,s,s-o,g,right 
3,o,n,n-o,g,ah 
3,o,s,s-o,g,go alon-- 
3,o,s,s-o,g,erm 
3,A2,s,s-A2,g,go along to your left 
4,K1,n,n-K1,g,about three centimetres 
4,o,s,s-o,f,right 
3,A1,o,o-A1,f,right 
5,A2,n,n-A2,g,and curve round the extinct volcano 
6,K2,n,n-K2,f,down the way 
6,K1,s,s-K1,g,down the way 
6,o,s,s-o,f,down the way right 
7,K2,n,n-K2,f,towards the bottom left-hand corner 
8,A2,n,n-A2,g,erm m-- a small slope 
8,A1,s,s-A1,f,a small slope right 
9,A2,n,n-A2,g,and h-- along under the tribal settlement along 'til you 
9,ch,s,s-ch,f,i don't have a tribal settlement um 
9,o,s,s-o,g,oh right 
10,o,n,n-o,g,erm 
10,K2,s,s-K2,f,you got a rope bridge 
10,K1,s,s-K1,g,yes 
11,K2,n,n-K2,f,am i should i be vertically under the right-hand side of the rope bridge 
11,K1,s,s-K1,g,yes 
11,o,s,s-o,f,right 
12,A2,n,n-A2,g,erm should be above the bottom of the page by about two centimetres two and a half centimetres 
12,A1,s,s-A1,f,okay 
12,o,s,s-o,f,oh should i indeed 
12,o,s,s-o,f,okay 
13,o,n,n-o,g,and 
13,o,s,s-o,f,right 
13,K2,s,s-K2,g,where are you now you still under 
13,K1,s,s-K1,f,em i'm under the rope bridge 
14,K2,n,n-K2,g,right-hand side 
14,o,s,s-o,f,about 
14,K1,s,s-K1,f,left-hand side 
14,o,s,s-o,g,left-hand side 
15,A2,n,n-A2,g,go left-hand side of the rope bridge go along 
14,ch,o,o-ch,f,no right-hand side of the rope bridge sorry 
14,o,s,s-o,g,right-hand side 
16,K1,n,n-K1,f,i thought you meant the page 
17,A2,n,n-A2,g,erm go along by about nine centimetres 
17,A1,s,s-A1,f,right 
18,o,n,n-o,g,in 
18,A2,s,s-A2,g,up seven centimetres 
19,o,n,n-o,f,right so 
19,K2,s,s-K2,f,where am i in relation to the rope bridge now 
19,K1,s,s-K1,g,erm you should be across by about four centimetres eh and under by about four centimetres 
19,o,s,s-o,f,right 
20,o,n,n-o,g,and 
20,A2,s,s-A2,g,curve round 
21,K2,n,n-K2,f,which way 
21,K1,s,s-K1,g,er so the slope it gets lower 
22,K2,n,n-K2,f,oh whe-- whe-- whe-- towards the right or the left 
22,K1,s,s-K1,g,to the right 
23,K2,n,n-K2,f,have you got a saxon barn 
24,K2,n,n-K2,g,hu-- you're not up there are you 
24,K1,s,s-K1,f,no i no i'm not 
25,K2,n,n-K2,f,should am i going toward the rope bridge 
25,K1,s,s-K1,g,yeah towards the rope bridge 
26,K2,n,n-K2,f,am i going across the rope bridge 
26,o,s,s-o,f,am i going across the r-- right it's across the rope bridge 
26,K1,s,s-K1,g,across the rope bridge 
26,o,s,s-o,g,yeah 
26,o,s,s-o,f,right 
27,A2,n,n-A2,g,stop after you you reach the end of the rope bridge 
27,A1,s,s-A1,f,right i'm at the other end of the rope bridge right 
28,A2,n,n-A2,g,and down by three centimetres 
29,K2,n,n-K2,f,have you got machete 
29,K1,s,s-K1,g,no 
29,o,s,s-o,f,right 
30,K2,n,n-K2,g,where whereabouts is the machete 
30,K1,s,s-K1,f,it's along by about three centimetres and couple down from the rope bridge 
30,o,s,s-o,g,a couple dow-- oh right 
30,o,s,s-o,f,right okay right 
31,K2,n,n-K2,g,are you close to it 
31,K1,s,s-K1,f,not yet 
31,o,s,s-o,f,right 
31,o,s,s-o,g,not yet 
32,K2,n,n-K2,f,so three centimetres down from the rope bridge 
32,K1,s,s-K1,g,yeah 
32,o,s,s-o,f,right 
33,K2,n,n-K2,g,how close are you to it now 
33,o,s,s-o,f,about 
34,K2,n,n-K2,g,are you er directly across from it 
34,K1,s,s-K1,f,no 
34,o,s,s-o,g,no 
35,K2,n,n-K2,g,er under it 
35,K1,s,s-K1,f,yeah 
35,K1,s,s-K1,f,not directly under it but under it 
36,K2,n,n-K2,g,under it by enough to miss it 
36,K1,s,s-K1,f,yeah 
37,K2,n,n-K2,f,yeah am i going right now 
37,K1,s,s-K1,g,yeah 
37,o,s,s-o,g,yeah 
38,A2,n,n-A2,g,er you go right by eight centimetres 
39,K2,n,n-K2,f,above the start point 
39,o,s,s-o,f,well 
39,K1,s,s-K1,g,yes above the start point 
