thread,neg,seg,comb,speaker,text
1,o,n,n-o,g,erm we're start oop-- starting down 
1,o,s,s-o,g,that's the end of that 
1,A2,s,s-A2,g,erm starting above the telephone kiosk 
1,A1,s,s-A1,f,uh-huh 
2,A2,n,n-A2,g,and we're going on the let's see left-hand side of that as i'm looking at it and come directly down 
2,A1,s,s-A1,f,uh-huh 
3,A2,n,n-A2,g,below the stone circle and we come up 
3,ch,s,s-ch,f,i don't have a stone circle 
3,o,s,s-o,g,you don't have a stone circle 
3,o,s,s-o,f,no 
3,o,s,s-o,g,ah 
4,o,n,n-o,g,right okay 
4,A2,s,s-A2,g,if you come down almost to the bottom of the map that i've got 
4,A1,s,s-A1,f,uh-huh 
5,K2,n,n-K2,f,to to the left of the telephone kiosk 
5,K1,s,s-K1,g,yes 
6,A2,n,n-A2,g,to my what was my left as i'm looking at it here 
6,A1,s,s-A1,f,right 
6,o,s,s-o,f,okay 
7,A2,n,n-A2,g,erm and come directly down 
7,A1,s,s-A1,f,yeah 
8,A2,n,n-A2,g,and almost to the bottom 
8,A1,s,s-A1,f,uh-huh 
9,A2,n,n-A2,g,and then come across 
10,o,n,n-o,g,hmm 
10,K2,s,s-K2,g,do you have a farmer's gate 
10,K1,s,s-K1,f,no 
11,K1,n,n-K1,f,i have a broken gate 
11,o,s,s-o,g,ah right okay 
12,A2,n,n-A2,g,erm come across as far as that but still at the bottom 
12,A1,s,s-A1,f,yeah i've got it 
13,A2,n,n-A2,g,and then head up towards the left-hand side of the gate 
13,A1,s,s-A1,f,right 
14,K1,n,n-K1,f,i've gone a bit too far then 
14,o,s,s-o,f,okay 
14,o,s,s-o,g,right 
15,A2,n,n-A2,g,come across a-- th-- come round and across the top of the gate 
15,A1,s,s-A1,f,yeah 
16,A2,n,n-A2,g,erm and walk above steadily or gradually heading upwards but only slightly up to above the meadow if you've got that 
16,A1,s,s-A1,f,yeah 
17,K1,n,n-K1,f,but the meadow's below my broken gate 
17,o,s,s-o,g,right yes 
18,A2,n,n-A2,g,but come over the broken gate and then head over towards that 
18,o,s,s-o,f,that's it 
18,A1,s,s-A1,f,yeah 
19,A2,n,n-A2,g,erm once you're above that head upwards to the right-hand side of the ruined monastery if you've got that 
20,K1,n,n-K1,f,that's m-- away up 
20,o,s,s-o,g,mmhmm 
21,A2,n,n-A2,g,head up to the right-hand side of that but avoiding the the dead tree 
21,A1,s,s-A1,f,yeah w-- 
22,o,n,n-o,f,have you got a 
