thread,neg,seg,comb,speaker,text
1,o,n,n-o,g,okay 
1,A2,s,s-A2,g,we're s-- we're starting in the top left-hand corner 
1,A1,s,s-A1,f,uh-huh 
1,o,s,s-o,f,uh-huh at the start 
1,o,s,s-o,f,uh-huh that's right 
2,A2,n,n-A2,g,ehm come straight down 
2,o,s,s-o,f,straight down 
2,o,s,s-o,g,straight down 
2,o,s,s-o,f,straight down yeah 
2,o,s,s-o,g,straight down 
2,o,s,s-o,f,uh-huh 
3,K2,n,n-K2,f,how far 
3,o,s,s-o,f,out 
3,o,s,s-o,f,oh well i'll move this over then okay 
3,o,s,s-o,f,okay then 
3,o,s,s-o,f,right uh-huh 
4,o,n,n-o,g,is i-- 
4,o,s,s-o,f,okay 
4,o,s,s-o,f,right okay 
5,o,n,n-o,g,do you have a 
5,o,s,s-o,g,can i can you 
5,K2,s,s-K2,g,do you do you have a field station marked on the left-hand side 
5,K1,s,s-K1,f,uh-huh 
6,K2,n,n-K2,f,do i go down that far 
6,K1,s,s-K1,g,go no 
7,A2,n,n-A2,g,go down halfway between the the 
7,o,s,s-o,f,the diamond and the field station 
7,o,s,s-o,g,the diamond and the field station 
7,A1,s,s-A1,f,okay 
8,A2,n,n-A2,g,and then turn to the right 
8,A1,s,s-A1,f,the right okay 
9,K2,n,n-K2,f,how far 
10,K2,n,n-K2,g,i'm g-- ca-- is there a mountain in the top 
11,K2,n,n-K2,f,the highest viewpoint 
11,K1,s,s-K1,g,the highest viewpoint 
10,K1,o,o-K1,f,uh-huh 
12,K2,n,n-K2,g,are springboks marked on the map 
12,K1,s,s-K1,f,ehm no 
12,o,s,s-o,g,no 
13,A2,n,n-A2,g,well come over to towards the the highest viewpoint come s-- come 
14,A2,n,n-A2,g,make sure you've come halfway between the diamond and the field station 
14,A1,s,s-A1,f,i have 
15,A2,n,n-A2,g,and come over to the right to until you're just below the left-hand side of the mountain 
15,A1,s,s-A1,f,okay 
16,K2,n,n-K2,f,in a straight line 
16,K1,s,s-K1,g,in a straight line 
16,o,s,s-o,f,right okay 
16,o,s,s-o,f,right okay 
17,A2,n,n-A2,g,then go straight up to above the mountain 
18,K2,n,n-K2,f,not going through the mountain 
18,K1,s,s-K1,g,not going through the mountain 
18,o,s,s-o,f,at all okay 
17,A2,o,o-A2,g,straight up to above the mountain 
17,A1,s,s-A1,f,straight up uh-huh 
19,K2,n,n-K2,f,how far 
19,K1,s,s-K1,g,to the to-- near the top of the page 
19,o,s,s-o,f,near it 
20,K2,n,n-K2,f,past the birds 
20,ch,s,s-ch,g,i i haven't got birds mar-- 
20,K1,s,s-K1,g,yeah past the birds yeah yeah sure 
20,o,s,s-o,f,okay 
21,o,n,n-o,g,ehm 
21,o,s,s-o,f,right 
21,A2,s,s-A2,g,turn right along to the e-- the ed-- to-- towards the edge of the page 
21,A1,s,s-A1,f,uh-huh 
21,o,s,s-o,g,okay 
21,o,s,s-o,f,uh-huh 
22,o,n,n-o,g,right 
22,A2,s,s-A2,g,wait a minute hold on can you come can you come back to the to the edge of the mountain 
22,A1,s,s-A1,f,uh-huh 
23,K2,n,n-K2,f,where i started from yeah 
23,o,s,s-o,g,and 
23,K1,s,s-K1,g,no 
24,A2,n,n-A2,g,come back to the the right-hand side of the mountains 
24,A1,s,s-A1,f,oh right okay right uh-huh 
25,A2,n,n-A2,g,and i want you to drop straight down until you're level with the field station 
26,K2,n,n-K2,f,what field station 
26,K1,s,s-K1,g,it-- there's a field station marked 
26,o,s,s-o,f,oh right okay 
27,K2,n,n-K2,f,on the other side 
27,K1,s,s-K1,g,oh dear right 
28,o,n,n-o,f,on your 
28,ch,s,s-ch,g,wait a minute 
28,K2,s,s-K2,f,on my left 
28,K1,s,s-K1,g,right 
29,K1,n,n-K1,g,hold on i've g-- i've got a different field station from you 
30,K1,n,n-K1,g,heeee this is good how ma-- you've got one on the 
31,K1,n,n-K1,f,i've got one on my left 
32,K2,n,n-K2,g,have you got a field station marked on the left-hand side 
32,K1,s,s-K1,f,uh-huh where i'm looking at it it's on my left 
33,K2,n,n-K2,g,have you also got a field station marked in the centre 
33,K1,s,s-K1,f,no 
33,o,s,s-o,g,no you don't 
33,o,s,s-o,f,no 
34,K1,n,n-K1,g,it's on it-- it's on the far far left-hand side of the page 
34,o,s,s-o,g,right 
34,o,s,s-o,f,uh-huh 
35,A2,n,n-A2,g,drop down 'til you're level with that field station 
35,A1,s,s-A1,f,okay 
36,K2,n,n-K2,f,is this have you got an overgrown gully 
36,K1,s,s-K1,g,no 
36,o,s,s-o,f,oh right oh 
36,o,s,s-o,g,i don't 
37,A2,n,n-A2,g,obviously you'll have to go round the overgrown --grown gully and and come back to a 
37,o,s,s-o,f,oh 
37,A2,s,s-A2,g,come back to a point 
38,o,n,n-o,f,well i 
38,o,s,s-o,f,could i just 
38,o,s,s-o,f,right 
38,K2,s,s-K2,f,you know how you've got the mountain 
39,K2,n,n-K2,f,could i just drop down straight in a straight line 
40,K2,n,n-K2,f,is there anything between the mountain and what is parallel to the field station 
40,K1,s,s-K1,g,no there's absolutely nothing there 
40,o,s,s-o,f,right 
41,o,n,n-o,f,so i could just drop right down then 
41,A2,s,s-A2,g,you can drop right down there yeah 
41,A1,s,s-A1,f,okay 
42,K2,n,n-K2,f,and just go on the same level then 
43,A2,n,n-A2,g,go 'til you're down to the level with this field 
43,o,s,s-o,g,station okay 
43,A1,s,s-A1,f,field station okay then 
43,o,s,s-o,g,right 
44,A2,n,n-A2,g,now you've got to turn left and go towards the field station but only 'til you're level with 
45,K2,n,n-K2,f,the diamond or the banana tree 
45,ch,s,s-ch,g,no no not as far a-- not f-- not as far across as that 
44,A2,o,o-A2,g,until you're level with the the centre of the mountain 
44,A1,s,s-A1,f,okay then right okay 
44,o,s,s-o,g,okay 
46,o,n,n-o,g,right 
46,o,s,s-o,f,uh-huh 
46,A2,s,s-A2,g,come now come slightly further left just a wee bit 
46,A1,s,s-A1,f,uh-huh right 
47,A2,n,n-A2,g,and drop straight down ehm 
48,o,n,n-o,g,now wait a minute 
48,K2,s,s-K2,g,have you got a banana tree have you got a banana tree marked 
49,K1,n,n-K1,f,i've went in a circle 
48,K1,o,o-K1,f,yeah 
