thread,neg,seg,comb,speaker,text
1,o,n,n-o,g,right 
1,K2,s,s-K2,g,do you have sandy shore up at the top of your map 
2,o,n,n-o,g,right 
2,K1,s,s-K1,g,that's the start is just to the left of that near the coast 
3,K2,n,n-K2,f,just at the cross 
3,K1,s,s-K1,g,yeah there 
4,o,n,n-o,g,okay 
4,A2,s,s-A2,g,go south down towards the well 
5,K2,n,n-K2,f,towards the 
5,K1,s,s-K1,g,the well 
6,K2,n,n-K2,g,do you not have a well 
7,K1,n,n-K1,g,that should be just there 
6,K1,o,o-K1,f,no 
8,K1,n,n-K1,f,i've got hills 
8,ch,s,s-ch,g,no 
9,K1,n,n-K1,g,not as far south as that erm 
10,K2,n,n-K2,g,see where this the the river comes in seems be a bay crane bay 
10,K1,s,s-K1,f,right okay i got crane bay 
11,o,n,n-o,g,right 
11,A2,s,s-A2,g,follow the line 
12,K2,n,n-K2,f,is it your left or my left 
12,K1,s,s-K1,g,oh hell erm my left 
12,o,s,s-o,f,your left 
13,K2,n,n-K2,f,so it's my right 
13,K1,s,s-K1,g,yeah 
11,A1,o,o-A1,f,okay that's where 
14,A2,n,n-A2,g,follow follow the line of crane bay down to just above the corner of the bay 
15,K2,n,n-K2,g,you know how the bay goes like that 
15,K1,s,s-K1,f,yeah 
16,K1,n,n-K1,f,the very opposite corner of iron bridge 
16,ch,s,s-ch,g,i don't have iron bridge 
16,o,s,s-o,f,okay 
17,o,n,n-o,g,right 
17,A2,s,s-A2,g,go south from the start 
17,o,s,s-o,f,south 
17,A1,s,s-A1,f,right 
18,o,n,n-o,g,right 
18,A2,s,s-A2,g,then you go left follow y-- up to oh heck go round where where the river goes 
19,K2,n,n-K2,g,you know how the the two bits of the crane come in crane bay come in like that then into the river 
19,K1,s,s-K1,f,yeah 
18,o,o,o-o,g,well 
18,A2,s,s-A2,g,go up to where the two bits join nearly and to form the the river 
18,o,s,s-o,f,to the mouth of the river 
18,o,s,s-o,g,to the mouth of the river 
18,o,s,s-o,g,right 
20,A2,n,n-A2,g,now cut across the river at that point 
20,o,s,s-o,f,over the bridge 
21,K1,n,n-K1,f,i've got a bridge 
21,o,s,s-o,g,okay 
22,A2,n,n-A2,g,go over the bridge 
22,A1,s,s-A1,f,okay i'm over the bridge 
23,o,n,n-o,g,right 
23,A2,s,s-A2,g,now follow the line of the river right down to the fork 
23,o,s,s-o,f,to the dead tree 
23,A2,s,s-A2,g,just above the dead tree before the fork 
23,A1,s,s-A1,f,okay i'm there 
24,o,n,n-o,g,right 
24,A2,s,s-A2,g,now i want you to go to your left and do a sort c"" quite a a wide ""c"" round some supposed ""
25,o,n,n-o,g,i've got farmed land 
25,K2,s,s-K2,g,have you got farmed land 
25,K1,s,s-K1,f,no 
26,K2,n,n-K2,f,have i got to cross this babbling brook cross it 
26,K1,s,s-K1,g,not again 
27,A2,n,n-A2,g,you've it further down you've got to do a wide c"" just above the fork do a wide ""c"" so that you're coming across the river at b-- you know underneath the dead tree ""
28,o,n,n-o,f,i'm coming 
27,A1,o,o-A1,f,oh right i see okay 
29,o,n,n-o,g,right 
29,A2,s,s-A2,g,under the dead tree go directly south for about five maybe seven centimetres 
29,o,s,s-o,f,to the treasure 
29,ch,s,s-ch,g,i don't have that 
29,o,s,s-o,f,oh 
29,o,s,s-o,g,right 
30,A2,n,n-A2,g,then go to your right for about the same maybe five centimetres till you come to the lagoon 
31,K2,n,n-K2,g,do you have the lagoon 
31,K1,s,s-K1,f,yeah 
32,K1,n,n-K1,f,but it's to my left 
33,K1,n,n-K1,f,unless that c"" wasn't big enough ""
33,o,s,s-o,g,uh-huh 
34,K1,n,n-K1,g,you should have crossed one of the 
35,K2,n,n-K2,g,does your the river fork into one goes into the lagoon and the other one goes off the page 
35,K1,s,s-K1,f,goes to a mountain stream 
35,o,s,s-o,g,right okay 
35,o,s,s-o,f,mmhmm 
36,K2,n,n-K2,g,is your c"" on the side of the stream or on the side of the lagoon ""
36,K1,s,s-K1,f,it's in the middle like it comes out in the two of them 
37,o,n,n-o,g,oh heck 
37,K1,s,s-K1,g,your river's different from mine 
38,K2,n,n-K2,f,you want to you want my path to be a large enough c"" so as it goes down ""
38,K1,s,s-K1,g,it and it crosses over the the mountain stream and then goes directly south underneath the dead tree 
38,o,s,s-o,g,is 
38,o,s,s-o,f,mmhmm 
39,K1,n,n-K1,f,right maybe so 
39,o,s,s-o,g,right 
40,o,n,n-o,g,right 
40,K1,s,s-K1,g,so you're going south then see i come to the lagoon then when i go south and then i go left which would mean you going right 
41,K2,n,n-K2,f,you don't have be-- treasure buried underneath your dead tree 
