thread,neg,seg,comb,speaker,text
1,o,n,n-o,g,right okay audrey 
1,A2,s,s-A2,g,you're starting to the to my left-hand side of the bandit territory 
1,o,s,s-o,f,left 
1,o,s,s-o,f,oh my 
1,o,s,s-o,f,right okay 
1,o,s,s-o,g,okay 
2,K2,n,n-K2,f,to your left-hand side 
2,K1,s,s-K1,g,uh-huh 
2,o,s,s-o,f,right okay 
2,o,s,s-o,g,the left-hand side 
2,o,s,s-o,f,so that's like my right-hand side right 
2,o,s,s-o,f,okay 
2,o,s,s-o,g,yeah 
3,A2,n,n-A2,g,you're going underneath where the guy is and underneath the writing 
3,A1,s,s-A1,f,right 
4,A2,n,n-A2,g,you're going along mm long a bit and then start going up 'til you're sort 
5,K1,n,n-K1,f,along to your left 
5,ch,s,s-ch,g,along to my right 
6,K2,n,n-K2,f,wait a minute a-- along to your 
6,o,s,s-o,f,first of 
6,K1,s,s-K1,g,along to my right in the direction of the cattle stockade 
6,o,s,s-o,f,oh my god oh my god 
7,K2,n,n-K2,f,along to your right are you sure it's your not your left 
7,o,s,s-o,g,along t-- 
7,K1,s,s-K1,g,no 
7,K1,s,s-K1,g,along to my right 
8,K1,n,n-K1,g,directly in front of me i have the bandit territory on the left 
8,o,s,s-o,g,okay 
9,K1,n,n-K1,g,and i've got the cattle stockade on my right 
9,o,s,s-o,f,right okay 
9,o,s,s-o,g,okay 
10,A2,n,n-A2,g,you're starting just to the left-hand side of the bandit territory 
10,A1,s,s-A1,f,right 
11,A2,n,n-A2,g,and then you're going underneath the bandit territory 
12,A2,n,n-A2,g,and then you start 
11,ch,o,o-ch,f,oh have i missed that 
11,o,s,s-o,f,oh right 
12,o,n,n-o,g,okay 
12,A2,s,s-A2,g,you start slowly moving up 'til you're sort level with the cattle stockade 
12,A1,s,s-A1,f,right 
13,K2,n,n-K2,f,is there a parched river bed in them 
13,K1,s,s-K1,g,no 
13,K1,s,s-K1,g,i don't have anything like that 
14,K1,n,n-K1,f,oh well i've got a parched river bed so 
15,o,n,n-o,f,will i sort try and avoid it or 
15,o,s,s-o,g,yeah 
15,A2,s,s-A2,g,just sort come up a bit 'til you're sort level with the with the cattle part and then go down underneath it underneath it 'til like 'til the end of it 
15,A1,s,s-A1,f,oh i've to come up t-- and then go back down again 
15,o,s,s-o,g,right 
16,o,n,n-o,g,yeah 
16,A2,s,s-A2,g,just up slightly so you're sort level with the little guys hat at the bandit territory 
16,A1,s,s-A1,f,okay 
16,o,s,s-o,g,okay 
16,o,s,s-o,f,oopala 
16,o,s,s-o,g,oopala 
17,o,n,n-o,f,certainly 
17,K1,s,s-K1,f,well my map's looking quite funny at the moment but never mind right 
17,o,s,s-o,g,right 
18,A2,n,n-A2,g,you go back down underneath the cattle stockade 
18,o,s,s-o,f,again 
18,o,s,s-o,g,no tho-- sorry 
19,o,n,n-o,f,i've come 
20,o,n,n-o,g,i thought you were j-- 
20,K2,s,s-K2,g,are you there 
21,o,n,n-o,g,right 
21,A2,s,s-A2,g,when you get to the cattle stockade go straight up 
21,A1,s,s-A1,f,uh-huh 
21,o,s,s-o,g,right 
22,A2,n,n-A2,g,'til you get to the cavalry place that you've got a little fort thing 
23,K2,n,n-K2,g,okay have you got that 
22,ch,o,o-ch,f,except i haven't 
22,o,s,s-o,g,you haven't 
24,K1,n,n-K1,f,i've got straight above the cattle stockade i've got a trout farm 
24,o,s,s-o,g,right 
25,K1,n,n-K1,g,the cavalry place is sort just just down below that 
25,o,s,s-o,f,below the trout farm 
25,o,s,s-o,g,yeah just 
25,ch,s,s-ch,f,there's absolutely nothing in my 
26,o,n,n-o,g,right 
26,K1,s,s-K1,g,it's just directly below that anyway 
26,o,s,s-o,f,right 
27,A1,n,n-A1,f,i'll just sort come up 'til i'm directly below the trout farm 
27,o,s,s-o,g,the trout farm 
27,o,s,s-o,f,right 
28,o,n,n-o,g,right 
28,A2,s,s-A2,g,go back along towards the left 
28,A1,s,s-A1,f,right 
28,o,s,s-o,g,just below the trout farm 
29,o,n,n-o,f,to yo-- to you-- 
29,A1,s,s-A1,f,oh i'll just go to the left i don't care if it's your left or my left 
29,o,s,s-o,f,right 
30,K1,n,n-K1,g,well it's my left anyway 
31,A2,n,n-A2,g,start to slowly walk go down the way 
32,K2,n,n-K2,g,have you got a picture of a great rock 
32,K1,s,s-K1,f,uh-huh 
33,o,n,n-o,g,yeah it's just 
33,A2,s,s-A2,g,come down 'til you're about ehm two in-- two to three inches above that 
33,A1,s,s-A1,f,right 
33,o,s,s-o,g,okay 
33,o,s,s-o,f,right 
34,A2,n,n-A2,g,ehm go along to like level with the b"" from the bandit territory ""
34,A1,s,s-A1,f,okay 
35,o,n,n-o,g,if you know what i mean if you just walk up 
34,ch,o,o-ch,f,i've got a to-- i've got 
36,o,n,n-o,f,right 
36,K2,s,s-K2,f,i've came down to an inch ab-- two inches above the great rock right 
36,K1,s,s-K1,g,right 
37,K2,n,n-K2,f,to the right of the great rock 
37,K1,s,s-K1,g,right 
38,o,n,n-o,f,right 
38,K2,s,s-K2,f,but see what about the b"" what did you say about the ""b"" in the bandit territory ""
39,K1,n,n-K1,g,sort curved out the way 
38,K1,o,o-K1,g,i just meant like that was how far out you were to go to 
38,o,s,s-o,f,oh above the great rock 
38,o,s,s-o,g,yeah 
38,o,s,s-o,f,right okay 
38,o,s,s-o,g,okay 
40,o,n,n-o,f,right 
40,K2,s,s-K2,f,to the left or to the right 
40,o,s,s-o,g,well 
40,K1,s,s-K1,g,once you get to the gold you start going to m-- my right 
41,K1,n,n-K1,g,and you've got another great rock 
41,ch,s,s-ch,f,i haven't 
42,K2,n,n-K2,g,have you got the indian country 
42,K1,s,s-K1,f,uh-huh 
42,o,s,s-o,g,right 
43,K1,n,n-K1,f,it's sort away over to the right-hand side 
43,o,s,s-o,g,uh-huh 
43,o,s,s-o,f,right 
44,A2,n,n-A2,g,when you get to the gold start going down a bit 
44,A1,s,s-A1,f,mmhmm 
44,o,s,s-o,g,right 
45,K1,n,n-K1,f,well i've come up to the sort bottom left-hand corner of the gold right 
45,o,s,s-o,g,right you're 
45,o,s,s-o,f,right okay 
46,o,n,n-o,f,right 
46,K1,s,s-K1,f,to the and then along to the indian country which is below it 
46,o,s,s-o,g,yeah 
47,A2,n,n-A2,g,go down the way so that you miss the great rock 
47,A1,s,s-A1,f,right 
