thread,neg,seg,comb,speaker,text
1,o,n,n-o,g,right 
1,A2,s,s-A2,g,start off facing north 
1,o,s,s-o,g,right 
2,A2,n,n-A2,g,turn to your left and walk forward then to your left again keep walking forward 'til you come to the site of a plane crash go right roundabout it and turn to your right so you end up facing north again 
3,A2,n,n-A2,f,could you just slow down a bit please 
3,A1,s,s-A1,g,sorry 
4,K2,n,n-K2,f,so i have to walk straight ahead from the start 
4,K1,s,s-K1,g,mmhmm 
5,K2,n,n-K2,f,and then turn right 
5,K1,s,s-K1,g,mmhmm 
6,A2,n,n-A2,g,just go a couple of steps 
6,A1,s,s-A1,f,mmhmm 
7,K2,n,n-K2,f,have i to pass pass by the waterhole 
7,o,s,s-o,g,pass pass the pass 
8,o,n,n-o,g,well 
8,K1,s,s-K1,g,it's stony desert that's what i've got here 
8,o,s,s-o,f,erm 
9,o,n,n-o,g,but 
10,o,n,n-o,f,now 
10,K2,s,s-K2,f,i'm starting off from the s-- just above to the north of the stony desert 
10,K1,s,s-K1,g,mmhmm 
11,o,n,n-o,f,erm 
11,K2,s,s-K2,f,have i to pass by the savannah 
11,K1,s,s-K1,g,no 
12,A2,n,n-A2,g,you've to come down 
12,o,s,s-o,f,erm 
13,A2,n,n-A2,g,and round past the site of the plane crash 
13,o,s,s-o,g,no 
14,o,n,n-o,f,erm 
14,K1,s,s-K1,f,erm plane crash is to north of where i am 
15,o,n,n-o,g,well 
15,K2,s,s-K2,g,is there no one right at the bottom left-hand side of the page 
15,K1,s,s-K1,f,no 
15,o,s,s-o,g,okay 
16,o,n,n-o,g,well 
16,A2,s,s-A2,g,come to walk right to the right-hand side of the page 
16,A1,s,s-A1,f,okay 
17,K1,n,n-K1,g,eh left-hand sorry 
17,o,s,s-o,f,okay 
18,K2,n,n-K2,g,erm have you got a collapsed shelter 
18,K1,s,s-K1,f,yes i do 
18,o,s,s-o,g,right 
19,A2,n,n-A2,g,you've to go up north and then round the collapsed shelter 
19,A1,s,s-A1,f,uh-huh 
20,K2,n,n-K2,g,erm do you meet the savannah 
20,o,s,s-o,f,erm 
20,K1,s,s-K1,f,mm now when i when i go round past the collapsed shelter my the savannah is to my right 
20,o,s,s-o,g,mmhmm 
20,o,s,s-o,f,okay 
21,o,n,n-o,g,well 
21,o,s,s-o,g,walking east 
21,o,s,s-o,f,that's east okay okay 
22,A1,n,n-A1,f,that's i'll change direction and walk east now towards the savannah past the collapsed shelter 
22,o,s,s-o,g,mmhmm 
23,A2,n,n-A2,g,when you get to the savannah before you ge-- turn to your left so you're heading north again 
23,A1,s,s-A1,f,okay 
23,o,s,s-o,f,okay 
24,A2,n,n-A2,g,until you you get over the top of the slate mountain 
24,o,s,s-o,f,over the top of the 
24,o,s,s-o,g,slate mountain 
24,ch,s,s-ch,f,don't have a slate mountain 
24,o,s,s-o,g,mm 
25,K1,n,n-K1,f,eh i've got some hot springs and elephants 
26,o,n,n-o,g,well 
26,K1,s,s-K1,g,the hot wells are after the slate mountain 
27,o,n,n-o,g,ehm 
27,A2,s,s-A2,g,just walk up t-- to the north to about the height of hot wells the hot springs 
27,A1,s,s-A1,f,okay okay okay 
28,A2,n,n-A2,g,turn to your right well left sorry 
28,A1,s,s-A1,f,mmhmm 
29,A2,n,n-A2,g,and down below the springs 
29,o,s,s-o,f,walk walk below the springs 
29,o,s,s-o,g,uh-huh 
29,A1,s,s-A1,f,right 
30,A2,n,n-A2,g,then turn to face north again 
30,A1,s,s-A1,f,uh-huh 
31,K2,n,n-K2,g,have you got a white mountain 
31,K1,s,s-K1,f,yes 
32,K1,n,n-K1,f,i have a white mountain to my north 
32,o,s,s-o,g,right 
33,A2,n,n-A2,g,up past up on the left of the white mountain walk right up past 
33,A1,s,s-A1,f,uh-huh 
34,K2,n,n-K2,g,erm do you have a lake right up at the top 
34,K1,s,s-K1,f,yes uh-huh 
35,o,n,n-o,g,right 
35,A2,s,s-A2,g,walk keep walking north 'til you get level of the lake 
35,A1,s,s-A1,f,uh-huh 
36,A2,n,n-A2,g,then walk right round it 
36,A1,s,s-A1,f,uh-huh 
37,o,n,n-o,g,roman baths 
37,ch,s,s-ch,f,roman baths don't have any roman baths at all 
38,o,n,n-o,g,well 
38,A2,s,s-A2,g,when you come round the lake stick close round the edge 
38,A1,s,s-A1,f,uh-huh 
39,A2,n,n-A2,g,and come back the way you came well only halfway 
39,A1,s,s-A1,f,mmhmm 
40,A1,n,n-A1,f,back round past the white mountain 
