thread,neg,seg,comb,speaker,text
1,A2,n,n-A2,g,start at the extinct volcano 
2,A2,n,n-A2,g,go down around the tribal settlement and then 
3,K2,n,n-K2,f,whereabouts is the tribal settlement 
3,K1,s,s-K1,g,it's at the bottom it's to the left of the e-- extinct volcano 
3,o,s,s-o,f,right 
4,K2,n,n-K2,f,how far 
4,K1,s,s-K1,g,ehm at the opposite side 
4,o,s,s-o,f,to the opposite side 
5,K2,n,n-K2,f,is it underneath the rope bridge or to the left 
5,K1,s,s-K1,g,it's underneath the rope bridge 
6,A2,n,n-A2,g,and then from the tribal settlement go straight up towards the rope bridge and over the rope bridge then down three steps and along to above the volcano 
7,K2,n,n-K2,f,eh d-- is down three steps below or above the machete 
7,ch,s,s-ch,g,ah the machete's not on my map 
7,o,s,s-o,f,oh 
6,A2,o,o-A2,g,down three lines 
6,A1,s,s-A1,f,right 
8,A2,n,n-A2,g,and then along as far as the volcano but above it and stop underneath the collapsed shelter but away from it a bit 
8,A1,s,s-A1,f,right 
9,A2,n,n-A2,g,and go up to about the middle of the map 
9,o,s,s-o,f,the middle of the map 
10,A2,n,n-A2,g,and stop 
11,K2,n,n-K2,f,just slightly above the crevasse 
11,ch,s,s-ch,g,that's not on my map either 
12,A2,n,n-A2,g,ehm go to your left again into about the middle 
13,K1,n,n-K1,f,i think that would bring me over the crevasse 
13,ch,s,s-ch,g,well it's not on my map 
13,o,s,s-o,f,no oh 
14,A2,n,n-A2,g,well go a quarter of the way along the page and down again 
14,ch,s,s-ch,f,that'll take me right into it 
15,o,n,n-o,g,well 
15,A2,s,s-A2,g,go right along instead then 
16,K2,n,n-K2,f,along to the left 
17,K2,n,n-K2,g,is the saxon barn on your map 
17,K1,s,s-K1,f,yes 
18,A2,n,n-A2,g,well go along to the saxon barn 
19,A2,n,n-A2,g,and down past the pelicans 
19,ch,s,s-ch,f,not marked on my map 
20,A2,n,n-A2,g,ehm go down from the saxon barn ehm to 
21,K2,n,n-K2,f,to the left or right of it 
21,K1,s,s-K1,g,straight down to the left 
21,o,s,s-o,f,left of it right 
22,A2,n,n-A2,g,and just above the rope bridge and then along to your left again 
22,A1,s,s-A1,f,okay 
23,A2,n,n-A2,g,and from there go straight up to the top of the map to the golden beach at the top left-hand corner passing the white mountain 
23,ch,s,s-ch,f,but golden beach is in the top right-hand corner 
23,o,s,s-o,g,left-hand corner sorry 
23,ch,s,s-ch,f,but there's a 
24,K1,n,n-K1,g,oh there's two golden beaches on this map as well 
25,K1,n,n-K1,f,it's above the white mountain 
25,o,s,s-o,g,mmhmm 
26,A2,n,n-A2,g,and then stop 
27,A2,n,n-A2,g,then turn to your right 
28,A2,n,n-A2,g,and go along to the middle of the map 
28,A1,s,s-A1,f,right 
29,K1,n,n-K1,f,b-- eh underneath slate mountain 
29,ch,s,s-ch,g,no 
30,A2,n,n-A2,g,just to the e-- the end of slate mountain 
30,A1,s,s-A1,f,right 
31,A2,n,n-A2,g,then go over slate mountain 
31,A1,s,s-A1,f,right 
32,A2,n,n-A2,g,and turn to your left into the middle of the map that'd be your right i suppose 
33,K1,n,n-K1,f,to my right now very close to the right of the page 
33,ch,s,s-ch,g,no 
34,A2,n,n-A2,g,left then 
35,o,n,n-o,f,then whereabouts 
35,A2,s,s-A2,g,into the middle 
36,A2,n,n-A2,g,then stop and go straight down at the side of the secret valley 
37,K2,n,n-K2,f,left or right side 
37,K1,s,s-K1,g,left 
37,o,s,s-o,f,the left side right okay 
38,A2,n,n-A2,g,and go along underneath the secret valley and finish 
38,A1,s,s-A1,f,right 
