thread,neg,seg,comb,speaker,text
1,o,n,n-o,g,ehm right 
1,A2,s,s-A2,g,you start at the caravan park 
1,A1,s,s-A1,f,mmhmm 
1,o,s,s-o,g,right 
2,A2,n,n-A2,g,ehm if you go down about three inches down uh-huh 
2,A1,s,s-A1,f,right 
3,A2,n,n-A2,g,and then across about two and go back up in 
4,K2,n,n-K2,f,do i go past the picket fence 
4,K1,s,s-K1,g,no 
5,o,n,n-o,g,right okay 
5,o,s,s-o,g,we're going 
6,K2,n,n-K2,g,see the old mill can you find the old mill on your map 
6,K1,s,s-K1,f,the mill wheel 
6,ch,s,s-ch,g,it's an old mill 
6,ch,s,s-ch,f,i don't have an old mill it says mill wheel must be the same thing 
6,o,s,s-o,g,okay right 
7,o,n,n-o,f,so 
7,A1,s,s-A1,f,i go down from the caravan park bef-- turn right before the picket fence 
8,A2,n,n-A2,g,you go to the old mill 
7,ch,o,o-ch,g,there's no picket fence here eh 
9,K2,n,n-K2,f,you don't have a picket f-- 
9,K1,s,s-K1,f,i've a i've got a picket fence about three inches down from the caravan park 
10,A1,n,n-A1,f,so i need to stop short of that and turn right right and go and pass beneath the mill wheel or the old the old mill as you have it 
10,o,s,s-o,g,well 
10,ch,s,s-ch,g,no 
11,A2,n,n-A2,g,i go down and then i turn right n-- no then i turn left and then i go back up past the old mill so it's like a curve it's like a curve going up down and then up again past the old 
12,K2,n,n-K2,g,have you got is old mill quite near the caravan park 
12,K1,s,s-K1,f,yeah 
13,K1,n,n-K1,f,it's about i mean maybe an inch and a half or two inches southeast of it on mine 
13,o,s,s-o,g,mm 
14,K2,n,n-K2,g,and ha-- have you to go have you to go there like in you've not you've not to pass the ca-- you've not to pass that fence 
14,o,s,s-o,f,well 
14,K1,s,s-K1,f,if i went three inches down from the caravan park i would you know i'd more hit the picket fence 
14,o,s,s-o,g,so then 
14,o,s,s-o,g,right i see 
15,A2,n,n-A2,g,so is that the idea of this then so you you're going straight to where i am instead going round the picket fence 
16,A2,n,n-A2,g,if i say if i say that you've to go to the old mill first 
16,o,s,s-o,f,where's your 
17,K2,n,n-K2,f,actually go to it 
17,o,s,s-o,f,well 
17,K1,s,s-K1,g,mmhmm 
18,o,n,n-o,f,i you know i wouldn't have to really go down i could just i could just go you know down and to the right rather than go down and then turn right sort thing 
18,o,s,s-o,g,hmm 
19,A2,n,n-A2,g,but the idea is the idea so that you don't go there to the picket fence if i'm going to the old mill first 
19,o,s,s-o,f,wh-- where wh-- 
19,o,s,s-o,f,well 
19,ch,s,s-ch,f,i you i don't suppose you you you can go outside the picket fence 
20,A1,n,n-A1,f,eh i i could i could go down about you know two and a half inches and then go right and that would take me underneath my mill wheel right you know beneath it so that not not beneath it n-- on the map beneath it on the map 
20,o,s,s-o,g,right okay 
20,o,s,s-o,g,mmhmm 
21,o,n,n-o,f,you know 
21,A1,s,s-A1,f,so i can go down and then to the right and and you know another couple of inches and that's me below the mill wheel 
21,o,s,s-o,g,the old mill 
22,K2,n,n-K2,f,is that okay 
22,o,s,s-o,g,right 
23,K2,n,n-K2,g,can you can you s-- s-- can you s-- well can you see the abandoned cottage 
23,K1,s,s-K1,f,yeah 
24,K1,n,n-K1,f,that's in the middle of my map right in the middle of the page 
24,o,s,s-o,g,uh-huh 
25,o,n,n-o,g,so if mm 
25,A2,s,s-A2,g,so if you go to the old mill and then y-- 
26,K2,n,n-K2,f,i'd if i need to go beneath the old mill right 
25,A1,o,o-A1,f,okay 
26,K1,n,n-K1,g,uh-huh 
27,o,n,n-o,f,further along to the right and then up about six or seven inches 'til you get to the abandoned cottage so i d-- i do that do i 
27,o,s,s-o,g,mmhmm mmhmm mmhmm 
28,A2,n,n-A2,g,so you're going to your right old now going out to your right and then eh straight up to the round the abandoned cottage right 
28,A1,s,s-A1,f,okay so i right well 
29,K1,n,n-K1,f,i've not drawn anything yet 
30,A1,n,n-A1,f,i'll go down from the caravan park right 
30,o,s,s-o,g,mmhmm 
31,A1,n,n-A1,f,and then right 
32,K2,n,n-K2,g,is the point so that you it's not so that you d-- you avoid that that fence or have you got to go by that fence 
32,K1,s,s-K1,f,i've avoided the fence now 
32,o,s,s-o,g,right you have right 
33,A1,n,n-A1,f,i'm i'm going right under the the mill okay 
33,o,s,s-o,g,uh-huh 
34,A1,n,n-A1,f,and up now 
34,ch,s,s-ch,g,no 
35,A2,n,n-A2,g,you ma-- you're actually meant to over the mill 
35,o,s,s-o,f,over the mill 
35,o,s,s-o,g,uh-huh 
36,K1,n,n-K1,g,as in on the left-hand side of it you know what i mean like going up round it on the map 
36,o,s,s-o,f,mmhmm 
37,o,n,n-o,f,well 
37,K1,s,s-K1,f,my caravan park is on the left-hand side of the mill 
37,o,s,s-o,g,uh-huh 
38,K1,n,n-K1,g,so is this 
38,o,s,s-o,g,right 
39,o,n,n-o,f,so i could ju-- 
40,K2,n,n-K2,g,it's on the it's on the far left isn't it 
40,K1,s,s-K1,f,yeah my caravan park's on the far left 
40,o,s,s-o,g,uh-huh 
41,K1,n,n-K1,f,but the mill wheel's to the right of it 
41,o,s,s-o,g,uh-huh that's fine 
42,o,n,n-o,g,so if you you're going to the old mill 
43,K1,n,n-K1,f,first of all 
