thread,neg,seg,comb,speaker,text
1,A2,n,n-A2,g,starting at the beginning head due south 
2,K1,n,n-K1,g,you'll see a diamond on your map 
2,o,s,s-o,f,mmhmm 
1,A1,o,o-A1,f,due south 
3,A2,n,n-A2,g,going due south followed by east 
3,o,s,s-o,f,to the west 
3,o,s,s-o,g,east right 
4,K2,n,n-K2,f,so you want me to go east then south 
4,K1,s,s-K1,g,no 
5,K1,n,n-K1,g,south then east 
6,K1,n,n-K1,g,we may have a different map 
6,o,s,s-o,f,uh-huh right 
7,A2,n,n-A2,g,can you head due south 
7,o,s,s-o,f,sorry 
7,A2,s,s-A2,g,can you head due south 
7,A1,s,s-A1,f,i can head due south 
8,K2,n,n-K2,f,am i meant i'm meant to draw this on aren't i right 
8,o,s,s-o,f,yes 
8,K1,s,s-K1,g,go for it 
9,K2,n,n-K2,f,how far 
9,K1,s,s-K1,g,you'll see a graveyard 
10,K2,n,n-K2,g,do you 
10,K1,s,s-K1,f,no 
10,o,s,s-o,g,right 
11,K1,n,n-K1,g,they've obviously not marked the graveyard 
12,K2,n,n-K2,f,how far to the right of diamond is it 
13,K2,n,n-K2,g,do you have carved stones 
13,K1,s,s-K1,f,i have carved stones at top followed by a ravine followed by an indian country 
13,o,s,s-o,g,right 
14,K1,n,n-K1,g,in the diamond and the carved stones is the graveyard that's where it should be 
14,o,s,s-o,f,right 
15,A2,n,n-A2,g,so what you need to do is continue past the diamond then past where you think the graveyard is 
16,A2,n,n-A2,f,and then stop 
15,o,o,o-o,f,past where it is 
15,o,s,s-o,g,yeah 
17,A2,n,n-A2,g,go rou-- same under under the graveyard south of the graveyard 
18,K2,n,n-K2,f,is the graveyard due east of the diamond 
18,o,s,s-o,g,the 
18,K1,s,s-K1,g,correct 
18,o,s,s-o,g,correct 
18,o,s,s-o,f,right okay 
19,A2,n,n-A2,g,s-- you then come no-- up north just to the left to west of the carved stones 
19,A1,s,s-A1,f,okay 
20,K1,n,n-K1,g,so if you're almost on top of carved stones then you'll totally miss the graveyard 
20,o,s,s-o,f,okay 
21,K2,n,n-K2,f,right so i am now just directly north of the carved stones and slightly north of the start 
21,K1,s,s-K1,g,that's correct 
22,A2,n,n-A2,g,so you move east around carved stones 
22,o,s,s-o,f,the carved stones 
23,K2,n,n-K2,g,and then do you have gallows on your map 
23,K1,s,s-K1,f,yes 
24,K1,n,n-K1,f,but they're absolutely miles away 
24,o,s,s-o,g,that's correct that's correct 
25,A2,n,n-A2,g,all you need to do is go due south from the carved stones as far as you can see the gallows the same level as the gallows 
25,o,s,s-o,f,past 
25,A1,s,s-A1,f,right 
26,K2,n,n-K2,g,you should be on top of the indian country correct 
26,K1,s,s-K1,f,um and just south of the ravine 
26,o,s,s-o,g,that's right 
27,K2,n,n-K2,g,do you have a great rock 
27,o,s,s-o,f,i 
28,K1,n,n-K1,g,it's to the west of indian country 
28,ch,s,s-ch,f,no 
29,K1,n,n-K1,f,it's very very southwest of indian country 
29,o,s,s-o,g,right 
30,K1,n,n-K1,g,that's a different great rock 
31,o,n,n-o,g,okay what you have to do is 
31,o,s,s-o,g,now that you're paral-- parallel with the gallows right 
31,o,s,s-o,f,mmhmm 
