Speaker,DialogAct,Text
C,Other,"Okay . "
A,Elicit,"Okay everyone's ready . "
B,Other,"Hello . "
A,Task,"So we are here for uh for uh functional design . "
A,Elicit,"Okay ? "
A,Task,"So we are here for the functional design meeting mm "
A,Other,"so first I will show the agenda so "
A,Minor,"we will uh "
A,Task,"I will take notes during this meeting so "
A,Task,"I will try to summarise it and put that summary in the shared folder if you want to look at it afterwards "
A,Task,"so then uh each of you will uh lead a presentation on the task that has been required last time "
A,Task,"so user requirement specification comm technical function design and working design . "
A,Task,"Then I will uh present you some new project requirements I received from uh the management board . "
A,Task,"Then we will take uh the decision on on the remote control uh needed functions "
A,Task,"and then I will assign you the task for the next part of the meeting . "
A,Task,"Of the of the process . "
A,Elicit,"So uh who want to start the the presentation of what they did ? "
C,Elicit,"F do you want to start ? "
B,Other,"Make a start yeah . "
A,Task,"You can start . "
B,Minor,"So . "
B,Other,"Cable comm camera . "
A,Elicit,"You have uh PowerPoint ? "
B,Task,"Should be in my in their folder "
B,Elicit,"no ? "
A,Task,"Ah yeah maybe there . "
B,Task,"Up . "
A,Task,"Okay . "
A,Elicit,"Who are you ? "
B,Task,"Um at three I think . "
B,Elicit,"No ? "
B,Task,"Mm . "
A,Other,"Ouch . "
A,Minor,"And "
C,Task,"Okay . "
A,Task,"We have a technical problem uh . "
B,Elicit,"Do we think w s in the in the wrong folder maybe ? "
B,Task,"It is possible . "
A,Minor,"You put it on "
C,Task,"No . "
B,Task,"It was somewhere in something like this . "
B,Task,"I don't remember the name actually "
B,Task,"must be something like messenger AMI or something . "
C,Elicit,"What do you have in short cut ? "
B,Task,"Go up . "
C,Task,"Participant two . "
B,Task,"Yeah go up . "
A,Task,"Yeah . "
B,Task,"Again . "
B,Task,"No . "
B,Task,"Go back . "
A,Minor,"You have no "
B,Task,"Uh maybe messenger AMI . "
B,Task,"Messenger . "
A,Other,"Over . "
A,Task,"Okay . "
B,Task,"No . There is nothing . "
A,Minor,"There's no "
A,Task,"We have a technical problem . "
B,Task,"Let's go and check . "
C,Task,"Yeah . "
B,Other,"I'll go and check . "
C,Task,"Otherwise comm could you just describe "
C,Task,"by hand ? "
B,Task,"Okay . "
C,Task,"With the the whiteboard ? "
B,Task,"Yeah . "
A,Task,"If you remember yeah "
B,Task,"Yeah . "
A,Minor,"but that's "
B,Minor,"So uh . "
B,Task,"Basically what we want here is a remote control "
B,Elicit,"right . "
A,Task,"Yeah . "
B,Task,"So um the question well first of all what to control . "
B,Task,"So most people want to have a a remote for their hi-fi and T_V_ and stuff like that . "
C,Minor,"Mm-hmm . "
B,Task,"And but other people want th also remotes for controlling uh and toys like robotic pets and little robots and stuff "
C,Minor,"Mm-hmm . "
B,Task,"and other people also want to have remotes for controlling um whole house . "
C,Minor,"Mm-hmm . "
A,Task,"Yeah . "
B,Task,"Yeah comm "
B,Task,"so there's a project I think called X_ house or something like that that does that comm uh you can integrate your remote with uh computers stuff . "
C,Minor,"Mm-hmm . "
B,Minor,"So "
B,Task,"there is one that is one thing . "
B,Task,"The other is the "
B,Task,"the finder feature yeah by whistling or whatever . "
B,Task,"Uh if you have the finder feature then you can also have "
C,Minor,"Okay . "
B,Task,"uh at the same time as and general voice commands if you want yeah . "
C,Minor,"Mm-hmm . "
B,Task,"So I think it should be a package in that case . "
B,Minor,"Uh "
B,Task,"so the user interface will consist of two parts . "
B,Task,"One is the voice command part and on one is the actual buttons part . "
B,Task,"Uh and th the buttons part would be uh a set of buttons for choosing devices comm a set of buttons for special navigation in space comm "
C,Minor,"Mm-hmm . "
C,Minor,"Mm-hmm . "
B,Task,"a set of buttons for linear access of medium and a set of buttons for random access . "
A,Task,"Okay . "
B,Elicit,"Yeah ? "
C,Elicit,"What do you mean by linear access then ? "
B,Elicit,"Like a video tape goes forward comm backwards comm uh fast and stuff yeah . "
C,Other,"Ah . "
B,Minor,"Um . "
