Speaker,DialogAct,Text
A,Minor,"Right uh . "
A,Minor,"So um . "
A,Elicit,"So where's the PowerPoint presentation ? "
A,Other,"Sorry ? "
A,Other,"Microsoft PowerPoint comm right . "
A,Minor,"Right comm okay . So . "
A,Minor,"Right . "
A,Minor,"Okay comm so we've got uh "
A,Task,"so we've got new project requirements . "
A,Minor,"Um . "
A,Task,"So basically we've got three things comm "
A,Task,"and we've got forty minutes in which to uh for this meeting to uh to discuss the various options . "
A,Minor,"Um . "
A,Other,"Three presentations . "
B,Minor,"We have a "
B,Task,"I guess we have a presentation each comm "
B,Task,"'cause I've got one . Um . "
C,Task,"Yeah . "
D,Task,"Yeah comm "
D,Task,"I've got one too . "
A,Other,"I see comm right . "
A,Task,"That's nice to know comm "
A,Task,"one from each of you . "
A,Task,"Um new project requirements . "
A,Elicit,"Um so do we want to do the presentation first comm "
A,Minor,"or do we want to um "
A,Task,"W I I got um or or three things basically comm um relating to the remote being only for T_V_ . "
A,Task,"We discussed that last time "
B,Minor,"Mm-hmm . "
A,Task,"and in actual fact that was pr pretty well what we came up with anyway . "
D,Minor,"Mm-hmm . "
A,Task,"So in fact it actually f we won't be forestalled in a sense . "
D,Minor,"Mm-hmm . "
A,Task,"Um we've got uh teletext outdated . "
A,Elicit,"Um did you get any information on that ? "
B,Task,"Uh we didn't comm no . "
C,Task,"No . "
A,Task,"Right and the corporate image was the uh final thing . "
B,Task,"I d I didn't personally . "
D,Minor,"Hmm . "
A,Task,"So I I got that in email form . "
A,Minor,"Um . Right okay . So "
A,Task,"I guess if we go ahead with the uh with the three presentations . "
A,Task,"So we'll start with yourself "
B,Task,"Okay that's fine . "
A,Minor,"on the basis that uh "
B,Other,"I'll just um I'll grab the wire out the back of this one . "
A,Other,"Sorry comm "
A,Task,"yep . "
A,Other,"Oh . "
C,Elicit,"What is it ? "
B,Task,"I'm not quite sure how it "
C,Task,"I think you've got to do um control F_ eight . "
B,Other,"Control "
B,Task,"Doesn't seem to be quite working at the moment . "
C,Task,"Shift F_ eight . "
B,Task,"Alt function F_ eight . "
B,Task,"Again not doing anything . "
D,Task,"There's usually a little thing in the top right for the "
D,Task,"Oh hang on comm "
B,Minor,"Oh . "
C,Task,"Ah there comm "
D,Task,"it's just coming on . "
C,Task,"it's doing something . "
B,Task,"pressed about five times now . "
B,Task,"Okay comm that's me . "
B,Task,"Okay comm um I have to go again . "
A,Elicit,"it going ? "
B,Task,"Hopefully that should be it this time . "
B,Task,"Okay comm I think we're there . "
B,Task,"That's good . "
B,Minor,"Okay comm um "
B,Task,"Okay I'm gonna be looking at the working design . "
B,Task,"Um of the of the remote control . "
B,Task,"Um I've just got three sections comm "
B,Task,"first is the research I made on the on the remote control itself um . "
B,Task,"And then that involves the components required in it and the systems uh design of the actual the actual remote . "
B,Task,"Um so having researched the existing models within the market comm um I found my research off the internet . Um I've established what the components required for the remote control to function comm actually are . "
B,Task,"And then also the methods in which these components interact together for the remote to actually do what you want it to do "
B,Task,"and how it connects with the television . "
B,Task,"Um the basic components are an energy source "
B,Task,"which I guess um in most existing models would be a battery supply . "
B,Task,"Whether that'll be sort of two batteries comm four batteries comm um it may vary . "
B,Task,"We then have the user interface comm which is basically the like the the buttons on the actual remote . "
A,Minor,"Okay . "
B,Task,"Um the various functions used for changing channel comm uh channel up and down comm volume comm things like that . "
B,Task,"Um there's also a chip inside the remote which does all the computer type things . "
B,Task,"And then the sender comm which um is usually comm I've found comm an infra-red device which sends a signal to the actual television . "
B,Task,"Um and the last part is receiver which is important in the system "
B,Task,"but is not actually part of the remote itself comm "
B,Task,"because that's obviously found in the television . "
B,Minor,". "
B,Task,"Um I'm gonna have to actually draw on the board "
B,Task,"because uh it was a little tricky on PowerPoint to get this working comm "
B,Other,"so . I'll just go through there . "
B,Elicit,"S um um do we have a cloth to wipe this down with comm or ? "
B,Minor,"Oh I'll j "
C,Task,"I think it's that little "
A,Task,"Uh there's the rubber on the right comm I think . "
B,Task,"Oh I see . "
B,Minor,"Oh okay . "
B,Other,"I'll get rid of the bear.$ "
A,Other,"it's magic . "
B,Task,"Okay that's great . "
