Speaker,DialogAct,Text
A,Minor,"Uh 'kay . "
A,Minor,"So "
D,Minor,"So so so . "
B,Task,"Put on your mic . "
C,Elicit,"So you forgot how this works again ? "
B,Other,"Boss . "
A,Minor,"Yep . "
C,Other,"Boss . "
D,Task,"Maybe . Maybe maybe maybe . "
A,Task,"Okay so we're here to talk about the detailed design of the product comm "
A,Elicit,"'kay ? "
B,Task,"Yep . "
A,Task,"And here's the agenda for this meeting . "
A,Other,"Uh I'm just gonna open comm say a few boring words to start with again comm and start taking minutes afterwards . "
A,Task,"You guys are gonna give us a presentation of our wonder product "
A,Task,"that I can see some demonstrations of over there . "
A,Task,"Looks cool . "
A,Task,"And then we're gonna evaluate it . "
A,Task,"Then we're gonna talk about finance comm "
D,Other,"Bra "
A,Task,"and I've got a lovely Excel spreadsheet that I knocked up in the last five minutes for this . "
A,Minor,"And uh "
C,Elicit,"Hmm you knocked it up ? "
A,Task,"yep . "
A,Task,"And we're gonna evaluate the product and close . "
A,Task,"Got forty minutes to do this in . "
A,Task,"We should be fine . "
A,Task,"Let's try and keep this one on schedule . "
B,Task,"Alright . "
A,Minor,"So "
A,Elicit,"Your thing is in where is it ? "
C,Task,"Thi third third third . "
A,Minor,"Is it in "
B,Task,"Three comm three . "
C,Task,"The end product thingy . "
C,Task,"Yeah . "
A,Elicit,"Who wants it ? "
B,Task,"Pedro can have it . "
B,Minor,"I like "
C,Minor,". "
B,Other,"I'll help talk . "
C,Task,"Um yeah so what we ended up with . "
C,Task,"Production costs estimated by our manufacturing department and um the research department comm which is us comm is uh fifteen point eight Euros comm "
C,Task,"someone forgot the units there "
B,Task,"Unit price . "
C,Task,"yeah comm uh unit price "
C,Task,"unit production price cost thing . Um "
C,Task,"we implemented the basic functions comm "
C,Task,"which is just T_V_ functions plus the locator comm "
C,Task,"which was one of the marketing things comm "
C,Task,"cradle comm "
C,Task,"scroll wheel for uh the the channels comm "
C,Task,"and uh we implemented the f the the way of putting the new and revolutionary zapping comm your favourite channels functionality comm in the scroll . "
A,Other,"Zapping your favourite channels comm eh ? "
C,Task,"Yeah . "
B,Task,"Scrolling through your favourites list . "
A,Task,"Oh okay okay . "
C,Task,"Zapping you know zapping . "
A,Task,"Ah 'kay okay comm that's favourites . "
C,Task,"Maybe it's just a Portuguese thing . "
C,Task,"And um yeah that was the result . "
A,Task,"Ah 'kay . "
A,Task,"I like the the the the logo on there as well . "
B,Task,"It's very prominent . "
A,Task,"It is very prominent . "
A,Minor,"So this is the "
B,Minor,"So "
B,Other,"here I'll give you the "
B,Task,"so this is the cradle unit comm "
B,Task,"and this is the actual remote itself . "
B,Task,"Um so the scroll bar is or the scroll wheel is this this green little scrolly guy here comm "
B,Task,"um and then the volume controls are here and here . "
A,Minor,"Okay . "
B,Task,"Uh you've got the keypad which is the numbers uh f from zero to nine and then ten . "
B,Task,"This is the power button . "
B,Minor,"Uh we have our um "
B,Task,"we have the enter button "
B,Elicit,"and uh what was the other button here ? "
B,Task,"This is the teletext . "
C,Minor,"Start s the "
C,Task,"the start uh to to to "
B,Task,"The programme button comm "
C,Task,"programme yeah . "
B,Task,"yeah the programme button . "
A,Task,"Ah comm okay I see . "
B,Task,"So this bl this button will be used both for the favourites and for programming your uh the um the type of television you wanna use . "
B,Task,"So um the plastic is the white area of this of the model here comm "
B,Task,"and the red area is like a rubber covering . "
B,Task,"So you can see that when it lays like this or like this "
A,Task,"It's pretty cool . "
B,Task,"and the buttons are all gonna be rubber comm so it's pretty hard to actually damage it um "
A,Minor,"Is that "
A,Elicit,"could that be easy to for the scroll wheel to be rotated if it lands on it ? "
B,Task,"Yeah that might be a possible a mi uh possible problem comm but if you drop it "
C,Other,"Not helping . "
B,Task,"yeah . "
A,Task,"Oh well I guess it depends on the stiffness a little of it . "
B,Task,"Yeah "
B,Task,"and it depends on if it's sliding comm "
B,Task,"but I think it's pretty ergonomic . "
B,Task,"You can feel it . "
A,Task,"Mm . Feels good . "
A,Elicit,"I take it that this is gonna be slightly lighter in the final design as well . "
B,Task,"Yeah of course . "
B,Task,"Well this is clay . "
A,Task,"Yeah it's kinda cool . "
A,Task,"You have to reach a little bit don't you . "
B,Task,"Yeah the the power button is a bit of a reach comm "
B,Other,"but I think we might scale down the final model a bit . "
A,Task,"Ah yeah that wouldn't make sense . "
B,Task,"These this is a bit larger than it would be comm but "
A,Task,"It's cool . I'm impressed . "
C,Task,"Don't have no one to handle that . "
D,Minor,"Mm that's "
A,Task,"And hold it so "
A,Elicit,"wh what's the marketing perspective ? "
D,Minor,"oh that's "
D,Task,"oh I like it . "
D,Task,"I mean you guys gave me more than I was asking for comm so I'm happy "
D,Task,"because we've got some really marketable features in this . "
D,Task,"Yeah I think it's good . "
D,Task,"Good good good job . "
B,Task,"Mm Pedro can demonstrate the the paging ability . "
C,Other,"Yeah . "
C,Task,"So you ha you have like the the base station with um the little button for the where's my remote . "
B,Other,"Beep beep beep . "
D,Minor,"Uh pla "
C,Task,"The locator function . "
D,Minor,"I'm ha "
D,Task,"It's great . That's great . It's a great feature . "
A,Minor,"Okay . "
B,Other,"Um beep beep beep "
A,Task,"Mm it's impressing . "
A,Other,"So let me get it comm "
B,Minor,"so "
A,Elicit,"if I press this button "
B,Other,"beep beep beep "
A,Task,"I see . That's pretty cool . "
C,Task,"Wicked isn't it ? "
A,Other,"Hang on . "
B,Other,"beep beep beep "
B,Other,"be shut up . "
D,Other,"So you can take this ho take this home with you tonight and you can push that and he'll be across town "
B,Other,"Beep beep beep "
B,Other,"okay . Um no no no tha that's alri "
A,Other,"I plan to do that as well . "
A,Elicit,"So the the two blue are are those for the the it to charge off of in ? "
B,Task,"Exactly that's exactly what those are for . "
A,Task,"Ah okay okay . "
B,Task,"And um there's one other feature that we were debating comm but we decided to go against it comm "
B,Minor,"is um you could "
B,Other,"beep beep beep "
B,Task,"we were thinking that it might be interesting to have a trigger button here because you have this finger "
A,Task,"Yeah it's the right shape isn't it ? "
B,Task,"it it's it kinda feels like there should be something there comm "
B,Task,"but we couldn't figure out what button is important enough to put there . "
B,Task,"And we we don't wanna accidentally be hitting the power button like that so "
A,Task,"But maybe if you had a trigger plus the scroll then that would get past the the problem of it landing and scrolling comm "
B,Minor,"Mm . "
B,Minor,"Right . "
A,Task,"'cause then it would need to be hit on both sides . "
B,Other,"So maybe in a final design phase we might tweak that a little bit comm "
B,Minor,"but "
A,Task,"Okay . "
D,Task,"Uh comm I can see that . "
A,Task,"But it's definitely got options for like different types of models and things as well based on that comm "
B,Minor,"Mm-hmm . "
A,Elicit,"hasn't it ? "
D,Task,"Yep I like . "
D,Task,"Good job . "
A,Elicit,"So is that the the final colour scheme as well or ? "
B,Task,"Oh no this is just what we had to work with at the time . "
D,Task,"No no . "
A,Task,"Okay . "
B,Task,"So we'll leave the colour scheme up to the marketing people . "
A,Minor,"The hmm . "
B,Task,"Careful . "
A,Task,"It came off . "
A,Task,"The scroll wheels comm a problem with them not being sort of "
D,Minor,"Well I mean of course comm I mean "
A,Task,"I don't think the user interface guy wants to touch it anymore . "
D,Task,"My my s my suggestion is we're gonna go go to the silvers and blacks like most of the televisions . "
